"page","viewport","overflow","scrollWidth","offenders"
"ressources/activite-04-corrige-evaluation.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-table"",""id"":"""",""w"":441,""cw"":297,""right"":336},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":440,""cw"":440,""right"":480},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":440,""cw"":440,""right"":480},{""tag"":""TH"",""cls"":"""",""id"":"""",""w"":131,""cw"":131,""right"":480}]"
"ressources/activite-04-corrige-evaluation.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-04-corrige-evaluation.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-04-exemple-production.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-04-exemple-production.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-04-exemple-production.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-04-fiche-eleve-classe.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-table"",""id"":"""",""w"":335,""cw"":297,""right"":336}]"
"ressources/activite-04-fiche-eleve-classe.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-04-fiche-eleve-classe.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-04-fiche-eleve-musee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-04-fiche-eleve-musee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-04-fiche-eleve-musee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
